"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 10 10:32:56 GMT 2025","Thu Apr 10 10:32:56 GMT 2025","444","All Test Suite","Create Booking","api.test.UpdateBookingTests","api.test.UpdateBookingTests","testUpdateBooking","testUpdateBooking",""
"passed","Thu Apr 10 10:32:54 GMT 2025","Thu Apr 10 10:32:54 GMT 2025","400","All Test Suite","Create Booking","api.test.CreateBookingTests","api.test.CreateBookingTests","testCheckoutDateIsCurrentDatePlusOneDay","testCheckoutDateIsCurrentDatePlusOneDay",""
"passed","Thu Apr 10 10:32:53 GMT 2025","Thu Apr 10 10:32:54 GMT 2025","440","All Test Suite","Create Booking","api.test.CreateBookingTests","api.test.CreateBookingTests","testCheckoutDateHandlesLeapYear","testCheckoutDateHandlesLeapYear",""
"passed","Thu Apr 10 10:32:56 GMT 2025","Thu Apr 10 10:32:57 GMT 2025","403","All Test Suite","Create Booking","api.test.DeleteBookingTests","api.test.DeleteBookingTests","testDeleteBooking","testDeleteBooking",""
"passed","Thu Apr 10 10:32:55 GMT 2025","Thu Apr 10 10:32:55 GMT 2025","411","All Test Suite","Create Booking","api.test.GetBookingTests","api.test.GetBookingTests","testGetBooking","testGetBooking",""
"passed","Thu Apr 10 10:32:51 GMT 2025","Thu Apr 10 10:32:53 GMT 2025","1980","All Test Suite","Create Booking","api.test.AuthTest","api.test.AuthTest","testAuthTest","testAuthTest",""
"passed","Thu Apr 10 10:32:54 GMT 2025","Thu Apr 10 10:32:54 GMT 2025","413","All Test Suite","Create Booking","api.test.CreateBookingTests","api.test.CreateBookingTests","testCheckoutDateHandlesMonthTransition","testCheckoutDateHandlesMonthTransition",""
"passed","Thu Apr 10 10:32:54 GMT 2025","Thu Apr 10 10:32:55 GMT 2025","402","All Test Suite","Create Booking","api.test.CreateBookingTests","api.test.CreateBookingTests","testCreateBooking","testCreateBooking",""
"passed","Thu Apr 10 10:32:55 GMT 2025","Thu Apr 10 10:32:56 GMT 2025","427","All Test Suite","Create Booking","api.test.UpdateBookingPartially","api.test.UpdateBookingPartially","testUpdateBookingPartially","testUpdateBookingPartially",""
